id,business_name,city,state,old_url,new_url
b8b76273-d3a0-47c9-b8d8-dccb2c8c2f0b,Cremation Society of Illinois,Chicago,IL,http://cremation-society.com,https://cremation-society.com
73f1bb15-33dc-49c7-a1bf-641a7c5ad373,Collins Northside Chapel,Jackson,MS,http://www.servicebycollins.com/,https://www.servicebycollins.com/
791b6f80-f3ea-4f59-bf2e-a0b1954d8117,Cremation Society of Illinois,Crystal Lake,IL,http://cremation-society.com,https://cremation-society.com
d1e63039-9980-4242-927f-835a6c7b089e,"Jones Family Mortuary, LLC",Houston,TX,http://www.jonesfamilymortuarytx.com/,https://www.jonesfamilymortuarytx.com/
e0b96889-97b9-474b-a93a-8cbe839f7d2c,MUZYKA & SON Funeral Home & Cremation Services,Chicago,IL,http://www.muzykafuneralhome.com/,https://www.muzykafuneralhome.com/
63ea7292-4b06-4203-af91-dff8d1b68d7c,"Smith, Dennis-Smith Funeral Home Chapel & Cremation",Atlanta,GA,http://smithdennissmithfuneralhome.com/,https://smithdennissmithfuneralhome.com/
bb0ec55d-b4b1-45ca-9a0c-debdd608d6f6,Batchelor Brothers & Jones Funeral Services,Philadelphia,PA,http://www.batchelorbrothers.com/,https://www.batchelorbrothers.com/
2f9ce7c2-5d38-410c-a302-f0c936764ecc,Gibbons Family Funeral Home,Chicago,IL,http://www.gffh.com/,https://www.gffh.com/
e2011b2e-7f4f-4a8e-93d5-1a35755060dc,Threadgill's Memorial Services,Portland,OR,http://www.threadgillmemorial.com/,https://www.threadgillmemorial.com/
9d0f7ee5-92b0-49dc-9451-7b2964c705bf,Direct Cremation,New York,NY,http://directcremationnyc.com,https://directcremationnyc.com
8581bea3-165b-46d4-bf3e-5643bf3b404d,Nashville Pet Crematory,Nashville,TN,http://nashvillepetcrematory.com,https://nashvillepetcrematory.com
28b08929-2d49-43ff-8219-64ffa1477e4f,Affordable Cremation,Brooklyn,NY,http://caribefuneral.com/?,https://caribefuneral.com/?
0812333a-c9c2-4128-b876-01778827d7a1,Direct Cremation USD 1590,Brooklyn,NY,http://caribefuneral.com,https://caribefuneral.com
e382a24a-fc9d-49f4-8dfd-3b96f4544ff7,"Direct Cremation Company, Ltd.",New York,NY,http://www.directcremationcompany.com,https://www.directcremationcompany.com
ae75ab8b-8b0b-4f9d-be6d-e7bd31f8318f,SOUTH LOS ANGELES CREMATION SERVICES,Los Angeles,CA,http://southlacremationservices.com,https://southlacremationservices.com
04077856-dd23-45b5-8c01-646c19953546,Cal Direct Cremation,Alhambra,CA,http://www.caldirectcremation.com,https://www.caldirectcremation.com
173deef6-5950-4d28-b282-7927628c3b37,Clarity Funerals & Cremation,Los Angeles,CA,http://www.clarityfunerals.com,https://www.clarityfunerals.com
